Seq,Occupation,Definition,Industry,Future Skill? ,Career Pathway,Competencies,Core Skills,Certifications (Govt offers),Certifications (External),Technologies,Soft Skills,Source,ANZSCO,ESCO Code,One Net Code
476,Management Accountants,"Management accountants combine financial, analytical, and management skills to aid senior management with decision-making and promote long-term financial success for a business.",Financial and Insurance Services,TBC,"Junior Accountant, Accounts Payable/Receivable Clerk, Audit Assistant, Assistant Management Accountant, Management Accountant, Senior Accountant, Accounting Manager, Controller","Assists in formulating budgetary and accounting policies.,Prepares financial statements for presentation to boards of directors, management, shareholders, and governing and statutory bodies.,Conducts financial investigations, prepares reports, undertaking audits and advises on matters such as the purchase and sale of businesses, mergers, capital financing, suspected fraud, insolvency and taxation.,Examines operating costs and organisations' income and expenditure.,Provides assurance about the accuracy of information contained in financial reports and their compliance with statutory requirements.","Strategy, Planning, and Performance, Reporting and Control, Technology and Analytics, Financial Analysis, Budgeting and Forecasting",Not Found,"Certified Management Accountant (CMA), Chartered Global Management Accountant (CGMA), Financial and Managerial Accounting Associate (FMAA), Certified in Strategy and Competitive Analysis (CSCA)","Cloud accounting software, Artificial Intelligence (AI) and Machine Learning, Blockchain Technology, Data Analytics, Cybersecurity Solutions, OCR and intelligent document processing","Analytical Thinking, Communication, Strategic Thinking, Problem-Solving, Business Acumen",JSA,221111,2411.1,13-2011.00
477,Taxation Accountants,Tax accountants prepare legally compliant tax filings and advise on tax strategy for individuals and businesses.,Financial and Insurance Services,TBC,"Tax Preparer, Bookkeeper, Enrolled Agent (EA), Certified Public Accountant (CPA), Tax Accountant, Senior Tax Accountant, Tax Manager, Partner (Accounting Firm, Tax), Corporate Controller, Financial Manager, Chief Financial Officer (CFO)","Examines operating costs and organisations' income and expenditure.,Provides assurance about the accuracy of information contained in financial reports and their compliance with statutory requirements.,Provides financial and taxation advice on business structures, plans and operations.,Prepares taxation returns for individuals and organisations.,Liaises with financial institutions and brokers to establish funds management arrangements.,Introduces and maintains accounting systems, and advises on the selection and application of computer-based accounting systems.,Maintains internal control systems.,May appraise cash flow and financial risk of capital investment projects.","Tax Knowledge, Tax Filing Preparation, Financial Reporting, Audit and Compliance, Tax Accounting Skills",Not Found,"Certified Public Accountant (CPA), Enrolled Agent (EA), Certified Global Tax Practitioner (CGTP), Certified Management Accountant (CMA), Certified Fraud Examiner (CFE), Accredited Tax Preparer (ATP), Chartered Global Management Accountant (CGMA)","Cloud-Based Accounting, Tax Preparation Software (UltraTax CS, Lacerte, Drake Tax), QuickBooks, Data Analytics, Artificial Intelligence, Blockchain, Mobile Accounting","Attention to Detail, Accuracy, Ethical Conduct, Problem-Solving, Regulatory Compliance",JSA,221113,2411.1,13-2011.00
478,Company Secretaries,"The Company Secretary is a guardian of compliance, a facilitator of communication, and a custodian of corporate records, responsible for advising on the conduct of business and ensuring legal and administrative support to the board of directors.",General Category,TBC,"Company Secretary, chief executive, managing director","Arranges, gives notice of and attends meetings of directors and shareholders.,Advises organisations' governing boards on matters concerning compliance with stock exchange listing rules, relevant legislation and corporation practice.,Supervises organisations' share capital by preparing documents and share issues, and handling share transfers.","Corporate governance, Legal compliance, Financial reporting, Risk management, Contract administration",Not Found,"Certificate in Foundations of Secretarial Practice, Certified Administrative Professional (CAP), Organizational Management (OM) Specialty Certificate, Certified Company Secretary Professional, Certificate in Compliance Foundations, Certificate in Governance and Risk Foundations","Corporate Secretary Software, Entity Management Technology, Workflow Software for Project Management, Document Creation and Communication Software, Cloud Capabilities for Data Storage and File Sharing, Automation Tools, AI Virtual Assistants","Organizational Skills, Attention to Detail, Ethical Conduct, Communication, Confidentiality",JSA,221211,4120.1,43-6011.00
479,Corporate Treasurers,"Corporate Treasurers manage a firm's financial assets and liabilities, ensuring appropriate funding and optimizing working capital while managing financial risks.",General Category,TBC,"Entry-level finance/banking/risk management role, Senior Accountant/Team Leader, Treasury Management roles, Corporate Treasurer, Financial Director, Chief Financial Officer","Controls treasury and treasury systems and establishes and reviews risk management objectives and treasury policies.,Identifies, manages and reports on financial risks.,Assists with equity management, debt management, securities and taxation planning issues.,Collects, analyses and interprets information on the financial standing, cost structures and trading effectiveness of organisations.","Investment management, Technical accounting knowledge, Familiar with treasury tools/software, Skilled in Excel, Analytical",Not Found,"Certified Treasury Professional (CTP), CFA","APIs, AI, machine learning, natural language processing, integrated treasury systems, automated reporting, intelligent automation","Risk Management, Analytical Thinking, Strategic Thinking, Negotiation, Communication",JSA,111211,1211.1.4,11-3031.01
480,External Auditors,External auditors confirm that financial statements do not contain errors or fraudulent activity.,Financial and Insurance Services,TBC,"Staff Auditor, Senior Auditor, Audit Manager, Senior Audit Manager, Partner","Identifies, manages and reports on financial risks.,Assists with equity management, debt management, securities and taxation planning issues.,Collects, analyses and interprets information on the financial standing, cost structures and trading effectiveness of organisations.,Devises, re-organises and establishes budgetary cost control and other accounting systems such as computer-based systems.,Conducts audits and investigations and prepares financial statements and reports for management, shareholders, and governing and statutory bodies.,Evaluates the cost effectiveness and risks of operational processes, activities, policies and systems.,Establishes audit objectives, and designs and implements audit methodologies, processes and audit report criteria.","Data analysis, Financial management, Bookkeeping, General computer skills, Productivity software",Not Found,"Certified Public Accountant (CPA), Chartered Accountant (CA), Certified Internal Auditor (CIA), Certified Information Systems Auditor (CISA), Certified Fraud Examiner (CFE), Certified Government Auditing Professional (CGAP), Certification in Risk Management Assurance (CRMA)","Robotic Process Automation (RPA), Advanced analytics tools, Data visualization, Machine learning, Artificial intelligence (AI), Smart analytics, Automation tools","Analytical Thinking, Integrity, Objectivity, Attention to Detail, Communication",JSA,221213,2411.1.7,13-2011.00
481,Internal Auditors,"Internal auditors handle corporate transparency by conducting audits, generating reports, and ensuring compliance, working as an employee of the company or an external expert to evaluate and improve the effectiveness of risk management, control, and governance processes.",Financial and Insurance Services,TBC,"Internal auditor, Senior internal auditor, Manager of internal audit, Director of internal audit or Chief audit executive (CAE)","Assists with equity management, debt management, securities and taxation planning issues.,Collects, analyses and interprets information on the financial standing, cost structures and trading effectiveness of organisations.,Devises, re-organises and establishes budgetary cost control and other accounting systems such as computer-based systems.,Conducts audits and investigations and prepares financial statements and reports for management, shareholders, and governing and statutory bodies.,Evaluates the cost effectiveness and risks of operational processes, activities, policies and systems.,Establishes audit objectives, and designs and implements audit methodologies, processes and audit report criteria.","Data Analysis, Project Management, IT Auditing, Financial Statement Analysis, Risk Management",Not Found,"Certified Internal Auditor®, Certification in Risk Management Assurance, Certification in COSO Fraud Risk Management, Internal Audit Practitioner","Automation, RPA, advanced data and analytics, AI, governance acumen, risk assessment expertise","Analytical Thinking, Integrity, Objectivity, Problem-Solving, Communication",JSA,221214,2411.1.7,13-2011.00
482,Commodities Traders,"Commodity Traders buy and sell physical goods or financial instruments tied to commodities like oil, metals, or agricultural products, analyzing market trends and executing trades to maximize profits.",General Category,TBC,"Junior Commodities Trader, Commodities Trader, Senior Commodities Trader, Portfolio Manager, Head of Trading","Monitors commodity prices, trends and other factors affecting the supply and demand for commodities.,Negotiates the purchase and sale of commodities such as grains, wool, minerals and metals.","Strong analytical skills, understanding of risk management strategies, critical thinking skills, understanding of global market influence, detail-oriented mindset",Not Found,"Chartered Financial Analyst (CFA), Chartered Institute for Security and Investment (CISI) exams, Certified Public Accountant (CPA), Financial Risk Manager (FRM), Certified Financial Planner (CFP), Financial Modeling & Valuation Analyst (FMVA), Chartered Alternative Investment Analyst (CAIA)","Machine learning, Digital trading systems, Data science, Advanced data-processing technologies, Trade surveillance tools, Risk management software","Risk Management, Decision-Making, Analytical Thinking, Stress Tolerance, Negotiation",JSA,Not Found,3324.2,41-3031.00
483,Finance Brokers,Finance Brokers operate as independent agents in the course of financial negotiations and arrange loans of money on behalf of clients.,Financial and Insurance Services,TBC,"Financial Services Sales Agent, Broker/Associate Broker, Sales Manager/Vice President, President/Business Owner","Determines the specific financial and insurance requirements of clients, and researches and reviews available finance and insurance products for suitability to meet clients' requirements.,Analyses clients' financial status, discusses financial options and develops financial strategies.,Recommends loan combinations that meet clients' needs.","Risk management, Accounting, Building financial models, Reporting, Financial analysis",Not Found,"Certificate IV in Finance and Mortgage Broking, Diploma of Finance and Mortgage Broking Management, Certified Financial Planner (CFP®), Chartered Financial Analyst (CFA®), Certified Management Accountant (CMA), Certified Fund Specialist (CFS), Chartered Financial Consultant (ChFC)","Point-of-Sale (POS) Software, Loan Origination Software (LOS), Customer Relationship Management (CRM) Software, Digital Mortgage Platforms, Artificial Intelligence (AI), Machine Learning, Business Intelligence Tools","Negotiation, Customer Service, Sales Acumen, Communication, Trustworthiness",JSA,222112,3311.2,13-1041.08
484,Insurance Brokers,"An Insurance Broker is a key intermediary in the insurance field, acting as a go-between for policyholders and insurance companies to advise customers on the best insurance deals.",Financial and Insurance Services,TBC,"Insurance technician, Junior account handler, Trainee broker, Account handling, Claims broking, Business development, Specialised area of insurance, Management","Interviews prospective clients to explain insurance policy conditions, risks covered, premium rates and benefits, and to make recommendations on the amount and type of cover.,Arranges insurance, home loan mortgages and other types of finance for clients through banks, lenders, financiers and insurance companies.,Identifies and advising on significant risk changes to clients' insurance.","Knowledge of the insurance market, Negotiation skills, Claims management, Analytical skills, Sales Savvy",Not Found,"Certified Insurance Broker (CIB), Associate in Claims (AIC), Associate in Commercial Underwriting (AU), Associate in Insurance (AINS), Certificate III in Insurance Broking, Diploma of Insurance Broking, CPCU","Agency Management System, Customer Relationship Management (CRM) systems, AI and Machine Learning, Quote and enrollment platforms, Benefits administration software, Claim management systems, Analytic and reporting software","Customer Service, Negotiation, Sales Acumen, Communication, Problem-Solving",JSA,222113,3321.1,13-1041.08
485,Other Financial Brokers,"A financial broker acts as an intermediary between investors and financial exchanges, facilitating transactions and advising clients on investments.",Financial and Insurance Services,TBC,"Sales Trainee, Junior Broker, Financial Broker, Senior Financial Broker, Branch Manager, Regional Vice President","Brokers complex and commercial leases, equipment finance, commercial finance, project finance and finance for property developers.","Financial Analysis, Investment Analysis, Financial Planning, Risk Management, Portfolio Management",Not Found,"Certified Financial Planner (CFP), Chartered Financial Analyst (CFA), Certified Management Accountant (CMA), Certificate IV in Finance and Mortgage Broking (FNS40821), Diploma of Finance and Mortgage Broking Management (FNS50322), Financial Modeling & Valuation Analyst (FMVA), Certified Public Accountant (CPA)","Financial analysis software, Customer relationship management CRM software, Microsoft Excel, Trading software, Database management software, Presentation software, Enterprise resource planning ERP software","Negotiation, Customer Service, Sales Acumen, Communication, Problem-Solving",JSA,222112,3311.2,13-1041.08
486,Financial Market Dealers,"Financial Market Dealers buy and sell securities for their own account to profit from the spread between bid and ask prices, while providing liquidity to the market.",General Category,TBC,"Graduate Trainee/Entry-level Trader, Analyst or Trader, Associate, Senior Associate, Vice President or Executive Director, Managing Director","Obtains information on securities, market conditions, government regulations and financial circumstances of clients.,Interprets data from securities reports, financial periodicals and stock-quotation viewer screens.,Analyses financial markets and financial market products.,Provides information and offers advice on financial market matters, market conditions and the history and prospects of corporations.,Executes buy and sell orders in the market place on behalf of clients.,Relays trade information to clients such as the number of contracts bought and sold and the price.","Analysing financial markets, Analysing financial market products, Executing buy and sell orders, Recording buy and sell orders, Transmitting buy and sell orders",Not Found,"Certified Financial Planner (CFP®), Chartered Financial Analyst (CFA®), Certified Management Accountant (CMA), Financial Risk Manager (FRM)®, Chartered Market Technician (CMT), Financial Modeling & Valuation Analyst (FMVA®), Certified Public Accountant (CPA)","Decentralized Order Execution, Blockchain Technology, Trading Platforms, Web3 Interfaces, Hybrid Exchanges, Web3 APIs, Algorithmic Trading Software","Risk Management, Decision-Making, Analytical Thinking, Stress Tolerance, Quick Thinking",JSA,Not Found,2431.11,39-3011.00
487,Futures Traders,"Futures Traders buy and sell commodity futures on behalf of clients, analyzing financial markets and executing buy and sell orders.",General Category,TBC,"Junior Trader, Senior Trader, Portfolio Manager, Trading Director","Obtains information on securities, market conditions, government regulations and financial circumstances of clients.,Interprets data from securities reports, financial periodicals and stock-quotation viewer screens.,Analyses financial markets and financial market products.,Provides information and offers advice on financial market matters and market conditions, as well as the history and prospects of corporations.,Executes buy and sell orders in the market place on behalf of clients.,Relays trade information to clients such as the number of contracts bought and sold and the price.,Monitors futures prices and market changes, and bidding for commodity futures contracts.,Records and transmits buy and sell orders.","Fundamental analysis, technical analysis, charting, applying indicators, strategic backtesting",Not Found,"Generating a specific list of 5-7 globally or Australia-recognized external certificates is not supported based on the available information. The search results mainly discuss educational qualifications (AQF Bachelor degree or higher, Diploma, etc.) for the Australian context (VETASSESS, ANZSCO) and general trading courses (Coursera, Udemy).","NinjaTrader, Interactive Brokers, TradingView, Python, MetaTrader 5, ARIMA models, GARCH models","Risk Management, Analytical Thinking, Decision-Making, Stress Tolerance, Pattern Recognition",JSA,Not Found,3311.3.3,Not Found
488,Stockbrokers,"A stockbroker executes buy and sell orders for clients and often works for brokerage firms, acting as a financial adviser and investment manager.",Financial and Insurance Services,TBC,"Junior Stockbroker, Associate Stockbroker, Senior Stockbroker, Portfolio Manager, Managing Director","Obtains information on securities, market conditions, government regulations and financial circumstances of clients.,Interprets data from securities reports, financial periodicals and stock-quotation viewer screens.,Analyses financial markets and financial market products.,Provides information and offers advice on financial market matters and market conditions, as well as the history and prospects of corporations.,Executes buy and sell orders in the market place on behalf of clients.,Relays trade information to clients such as the number of contracts bought and sold and the price.,Monitors stock prices and market changes, and bids for securities and bonds.,Records and transmits buy and sell orders.,Calculates and records costs of transactions.","Financial analysis, portfolio management, market knowledge, investment strategies, trading platforms proficiency",Not Found,"Series 7 – General Securities Representative Exam, Markets, Clearing and Settlement Examination, Accredited Listed Product Adviser (ASX ALPA) Course, Series 63 – Uniform Securities Agent State Law Exam, CFA Program, Series 65 – Uniform Investment Adviser Law Exam, Series 79 - Investment Banking Representative Exam","Trading software, Portfolio analysis tools, Financial modeling software, CRM systems, Data visualization tools, Blockchain technology, Algorithmic trading platforms","Customer Service, Sales Acumen, Risk Management, Communication, Analytical Thinking",JSA,Not Found,Not Found,Not Found
489,Other Financial Dealers,"Financial dealers buy and sell commodities and securities for profit under their own name, monitoring the financial marketplace and using their own capital for transactions.",General Category,TBC,"Financial Dealer Trainee, Junior Financial Dealer, Financial Dealer, Senior Financial Dealer, Financial Markets Manager, Director of Financial Dealing","Obtains information on market conditions, government regulations and financial circumstances of clients.,Interprets data from securities reports, financial periodicals and stock-quotation viewer screens.,Analyses financial markets and financial market products.,Provides information and offers advice on financial market matters, market conditions and the history and prospects of corporations.,Executes buy and sell orders in the market place on behalf of clients.","Risk management, Accounting, Building financial models, Basic Knowledge of GAAP, Proficiency in Microsoft Excel",Not Found,"Certified Financial Planner (CFP®), Chartered Financial Analyst (CFA®), Certified Management Accountant (CMA), Chartered Financial Consultant (ChFC), Certified Investment Management Analyst (CIMA), Chartered Market Technician (CMT)","Artificial Intelligence (AI), Client Relationship Management (CRM) software, Financial planning software, Integrated technology solutions, Fraud surveillance systems, Trading platforms, Portfolio management software","Risk Management, Analytical Thinking, Decision-Making, Communication, Stress Tolerance",JSA,Not Found,4212.5,39-3011.00
490,Financial Investment Advisers,Financial Investment Advisers are registered financial professionals who provide investment advice and manage client portfolios on an ongoing basis.,General Category,TBC,"Analyst, Associate Advisor/Financial Planner, Service Advisor/Investment Advisor, Lead Advisor/Senior Advisor, Principal/Partner","Interviews prospective clients to determine financial status and objectives, discusses financial options and develops financial plans and investment strategies.,Monitors investment performance, and reviews and revises investment plans based on modified needs and changes in markets.,Recommends and arranges insurance cover for clients.,Arranges to buy and sell stocks and bonds for clients.,Advises on investment strategies, sources of funds and the distribution of earnings.,Sets financial objectives, and develops and implements strategies for achieving the financial objectives.,Manages funds raised from personal superannuation savings policies and unit trusts.,May refer clients to other organisations to obtain services outlined in financial plans.","Financial analysis, investment analysis, financial planning, insurance planning, tax planning",Not Found,"Certified Financial Planner (CFP), Chartered Financial Analyst (CFA), Certified Investment Management Analyst (CIMA), Chartered Financial Consultant (ChFC), Certified Private Wealth Advisor (CPWA), Certified Trust and Fiduciary Advisor (CTFA), Financial Modeling & Valuation Analyst (FMVA)","CRM Systems, Financial Planning Software, Portfolio Management and Reporting, Trading & Rebalancing Platforms, Client Portal Solutions, Marketing Automation, Compliance Tools","Customer Service, Communication, Trustworthiness, Analytical Thinking, Ethical Conduct",JSA,222311,2412.6,13-2051.00
491,Financial Investment Managers,"Financial investment managers create financial reports, direct investment activities, and develop plans for the long-term financial goals of their organization or handle financial planning, investing, and portfolio management for clients.",General Category,TBC,"Junior Analyst/Trainee, Analyst, Senior Analyst, Associate Portfolio Manager, Portfolio Manager, Senior Portfolio Manager, Director of Portfolio Management, Chief Investment Officer",#N/A,"Financial analysis, financial modelling, thorough research, analyzing market data, strong analytical skills",Not Found,"Certified Financial Planner (CFP), Chartered Financial Analyst (CFA), Certified Investment Management Analyst (CIMA), Chartered Investment Counselor (CIC), Certified Private Wealth Advisor (CPWA), Wealth Management Certified Professional (WMCP), Financial Modeling & Valuation Analyst (FMVA)","Financial modeling software, Portfolio management software, Confluence Technologies, Data analytics platforms, Discounted Cash Flow (DCF) model, Comparable Company Analysis (Trading Comps Model), Leveraged Finance Model (LevFin)","Strategic Thinking, Risk Management, Analytical Thinking, Decision-Making, Communication",JSA,222311,2412.6.3,13-2051.00
492,Human Resource Advisers,"Human Resource Advisers support management and employees by advising on HR policies, resolving workplace issues, guiding recruitment and onboarding, and ensuring legal compliance.",General Category,TBC,"HR Assistant, HR Coordinator, HR Generalist, HR Manager, HR Director, Chief HR Officer (CHRO)","Arrange for advertising of job vacancies, interviewing and testing of applicants, and selection of staff.,Maintains personnel records and associated human resource information systems.,Provides advice and information to management on workplace relations policies and procedures, staff performance and disciplinary matters.,Arrange the induction of staff and provide information on conditions of service, salaries and promotional opportunities.,Receive and record job vacancy information from employers such as details about job description, wages and conditions of employment.,Provide information on current job vacancies in the organisation to employers and job seekers.,Undertakes negotiations on terms and conditions of employment, and examines and resolves disputes and grievances.,Studies and interprets legislation, awards, collective agreements and employment contracts, wage payment systems and dispute settlement procedures.,Develops, plans and formulates enterprise agreements or collective contracts such as productivity-based wage adjustment procedures, workplace relations policies and programs, and procedures for their implementation.,Oversees the formation and conduct of workplace consultative committees and employee participation initiatives.","People Analytics, HR Management knowledge and expertise, Administrative expertise, HR software systems maintenance, Labor law knowledge",Not Found,"SHRM-CP, SHRM-SCP, Certified Federal HR Advisor (cFHRA), CPHR, BSB40420 Certificate IV in Human Resource Management, AHRI Practising Certification Program (APC)","HRIS, HRMS, HCM, LMS, Recruiting Software, Applicant Tracking Systems, HR Analytics Tools","Communication, Empathy, Conflict Resolution, Confidentiality, Problem-Solving",JSA,223111,1324.8.3,11-9121.02
493,Recruitment Consultants,"Recruitment consultants are responsible for finding the right candidate for the right job, handling enquiries from companies, and managing the interview process.","Professional, Scientific and Technical Services",TBC,"Recruitment Consultant, Senior Consultant, Business Development/Management, Owner of Recruitment Agency","Arranges for advertising of job vacancies, interviewing and testing of applicants, and selection of staff.,Receives and records job vacancy information from employers such as details about job description, wages and conditions of employment.,Provides information on current job vacancies in the organisation to employers and job seekers.,Undertakes negotiations on terms and conditions of employment.","Knowledge of core HR principles, Data-driven mentality, Understanding of automation and AI, Marketing and sales skills, Ability to use technology",Not Found,"Recruitment Consulting Certificate (RCSA), Professional Recruiter Certification (PRC), Certified Recruitment Professional (CRP), Talent Acquisition Specialty Credential (SHRM), Certified People Sourcing Professional (CPSP), Certified Personnel Consultant (CPC), Certified Associate Recruiter (CAR)","Applicant Tracking Systems (ATS), Recruitment Automation Software, Candidate Relationship Management (CRM), AI Recruiting Software, Cloud HR Software, Interview Scheduling Software","Communication, Negotiation, Sales Acumen, Active Listening, Relationship Building",JSA,223112,2423.6,Not Found
494,Workplace Relations Advisers,Workplace Relations Advisers assist in resolving disputes by advising on workplace relations policies and problems and representing parties in negotiations on rates of pay and conditions of employment.,General Category,TBC,"Internship/Entry-Level Position, HR Assistant/Generalist/Coordinator, Employee Relations Specialist/Advisor (Junior/Mid-level), Employee Relations Manager/Senior Specialist, Head of Employee Relations/Director of Employee Relations","Maintains personnel records and associated human resource information systems.,Arranges the induction of staff and provides information on conditions of service, salaries and promotional opportunities.,Receives and records job vacancy information from employers such as details about job description, wages and conditions of employment.,Studies and interprets legislation, awards, collective agreements and employment contracts, wage payment systems and dispute settlement procedures.,Develops, plans and formulates enterprise agreements or collective contracts such as productivity-based wage adjustment procedures, workplace relations policies and programmes, and procedures for their implementation.,Oversees the formation and conduct of workplace consultative committees and employee participation initiatives.","Negotiating skills, Mediating skills, Analytical approach to solving problems, Making presentations, Leading discussions",Not Found,"SHRM-CP, SHRM-SCP, PHR/SPHR","AI-powered virtual assistants, chatbots, email, instant messaging tools, Microsoft Teams, Slack, Zoom","Conflict Resolution, Negotiation, Communication, Empathy, Impartiality",JSA,223113,3312.2,13-1075.00
495,Actuaries,"Actuaries analyze the financial costs of risk and uncertainty using mathematics, statistics, and financial theory.",General Category,TBC,"Actuarial Analyst, Associate Actuary, Chief Actuary","Defines, analyses and solves complex financial and business problems relating to areas such as insurance premiums, annuities, superannuation funds, pensions and dividends.,Examines financial projections for general insurance companies, finance companies, government and other organisations.,Designs new types of policies, assesses risks and analyses investments in life insurance, superannuation funds, health insurance, friendly societies, financial markets and other areas.","Analytical and Mathematical Skills, Data and Statistical Analysis, Coding and Technical Proficiency, Cost-Benefit Analysis, Analytical Problem-Solving",Not Found,"CERA, Certified Actuarial Analysts, Fellowship of the IAAust, Fellow of the Institute and Faculty of Actuaries, Actuarial Control Cycle, Data Science Principles, Communication Modelling and Professionalism, Asset Liability Management","Python, R, SQL, AI, machine learning, data science, statistical software","Analytical Thinking, Problem-Solving, Attention to Detail, Critical Thinking, Communication",JSA,224111,Not Found,15-2011.00
496,Mathematicians,Mathematicians analyze data and apply computational techniques to solve problems.,General Category,TBC,"Mathematician, Associate Professor, Full-Time Professor","Formulates mathematical models to simulate processes.,Applies models to experimental observations, and adjusts and recasts the models.,Uses numerical analysis methods to develop algorithms and perform computations.,Liaises with management and clients to determine the subject or area to be surveyed or examined.,Specifies the data to be collected, and the methodology to be used in collection and analysis.,Evaluates and describes the reliability and utility of source information.,Analyses and interprets data, and produces relevant statistics to describe and infer particular trends and patterns.","Mathematical modeling, Statistical analysis, Numerical methods, Data analysis, Algorithm development",Not Found,"Chartered Statistician (CStat), Actuary (Fellow of the Institute of Actuaries of Australia - FIAA), Certified Analytics Professional (CAP), Professional Risk Manager (PRM), Financial Risk Manager (FRM), Certified Data Scientist (CDS), Professional Data Engineer","IBM SPSS Statistics, Minitab, SAS, The MathWorks MATLAB, Tableau, Atlassian JIRA, Salesforce software","Analytical Thinking, Problem-Solving, Logical Reasoning, Patience, Abstract Thinking",JSA,224112,2120.5,15-2021.00
497,Statisticians,Statisticians interpret data and communicate analyses to technical and nontechnical audiences.,General Category,TBC,"Junior Statistician, Data Analyst, Research Assistant, Statistician, Biostatistician, Senior Statistician, Clinical Statistics Manager, Assistant Division Chief for Statistical Program Management, Statistical/Psychometric Consultant, Manager","Formulates mathematical models to simulate processes.,Applies models to experimental observations, and adjusts and recasts the models.,Uses numerical analysis methods to develop algorithms and perform computations.,Liaises with management and clients to determine the subject or area to be surveyed or examined.,Specifies the data to be collected, and the methodology to be used in collection and analysis.,Evaluates and describes the reliability and utility of source information.,Analyses and interprets data and produces relevant statistics to describe and infer particular trends and patterns.","General statistical knowledge, Analytical skill and knowledge, Apply mathematical principles, Design software applications, Conceptual and statistical frameworks",Not Found,"Certified Analytics Professional (CAP), Professional Statistician (PStat) Accreditation by the Statistical Society of Australia, Royal Statistical Society (RSS) Professional Recognition, SAS Certified Statistical Business Analyst, Certified Data Scientist (CDS), Microsoft Certified: Azure Data Scientist Associate","SAS, R, Statistical Analysis, Data Analysis, Machine Learning, Data Visualization, Big Data Analytics","Analytical Thinking, Problem-Solving, Attention to Detail, Data Interpretation, Critical Thinking",JSA,224116,2120.6,15-2041.00
498,Archivists,Archivists preserve important or historically significant documents and records.,General Category,TBC,"Entry Level, Archivist, Mid Level, Records Manager, State Archivist","Evaluates and preserves records for administrative, historical, legal, evidential and other purposes.,Prepares record-keeping systems, indexes, guides and procedures for archival research and for the retention and destruction of records.,Identifies and classifies specimens and objects, and arranges restoration work.,Examines items and arranges examinations to determine condition and authenticity.","Appraisal and Acquisition, Arrangement and Description, Preservation, Reference and Access, Knowledge of Archival Material and Functions",Not Found,"ACA Archival Certification, Certified Archivist, ASA Accredited Member (ASAAM), ASA Recognised Professional (ASARP), ASA Accredited Professional (ASAAP)","Data archiving software, Digital preservation tools and systems, Database Management Systems (DBMS), Metadata standards, Web content preservation, Digital forensics tools, Data compression","Attention to Detail, Organizational Skills, Patience, Research Skills, Problem-Solving",JSA,Not Found,2621.1,25-4011.00
499,Gallery and Museum Curators,"Gallery and Museum Curators are responsible for planning and organizing exhibitions, acquiring and caring for collections, conducting research, and interpreting their subject matter for the public.",General Category,TBC,"Intern/Volunteer, Curatorial Assistant/Museum Technician, Curator/Archivist, Senior Curator/Director","Plans and organises the acquisition and display of material.,Arranges the layout and lighting of historical, scientific or art displays.,Researches items in displays and produces publications, delivers public lecturers and initiates exhibitions.,Identifies and classifies specimens and objects, and arranges restoration work.,Examines items and arranges examinations to determine condition and authenticity.,Manages organisations' central records systems.","Project management, research, identifying and classifying specimens/objects, cataloguing objects, overseeing and managing central records systems",Not Found,"Graduate Certificate in Arts, Graduate Diploma in Arts, Graduate Certificate in Arts (Advanced), Graduate Diploma in Arts (Advanced), Global Certificate in Museum Curation, Masters of Art Curatorship","Digitization, Database Management, eMuseum software, Digital Photography, Interactive Exhibit Technology, Virtual Reality (VR), Augmented Reality (AR)","Organizational Skills, Research Skills, Creativity, Communication, Attention to Detail",JSA,Not Found,1349.18,25-4012.00
500,Health Information Managers,"Health information managers are professionals who acquire, analyze, and protect digital and traditional medical information vital to providing quality patient care, often serving as a bridge between clinical, operational, and administrative functions.",Health Care and Social Assistance,TBC,"Medical Coder, Clinical Documentation Improvement Specialist, Health Information Manager, Director of Risk Management, Chief Clinical Informatics Officer","Designs and revises medical record forms.,Manages organisations' central records systems.","Working with electronic health record (EHR) systems, medical billing and coding, technical data management, managing medical records, ensuring security and privacy of patient data",Not Found,"Registered Health Information Administrator (RHIA), Registered Health Information Technician (RHIT), Certified Coding Associate (CCA), Certified Coding Specialist (CCS), Certified Professional Coder (CPC®), Certified Professional in Healthcare Information and Management Systems (CPHIMS), Certified Associate in Healthcare Information and Management Systems (CAHIMS)","Electronic Health Record (EHR) Systems, Health Information Technologies, Computer Databases, Clinical Data Analytics, Health IT Security Software, Medical Coding Software, Data Visualization Tools","Organizational Skills, Attention to Detail, Problem-Solving, Confidentiality, Communication",JSA,134213,3412.4.8,11-9111.00
501,Records Managers,"Records Managers plan, organize, and administer records policies, procedures, and systems for an organization, ensuring the preservation, maintenance, and retrieval of records and compliance with regulations.",General Category,TBC,"Records Manager, Senior Records Manager, Records and Information Manager, Administrative Services Manager","Manages organisations' central records systems.,Analyses the record-keeping needs of organisations, and translates these needs into record management systems.,Maintains computerised and other record management systems and record forms, and advises on their usage.,Controls access to confidential information, and recommends codes of practice and procedures for accessing records.,Develops record cataloguing, coding and classification systems, and monitoring their use.","Records management software, Legal compliance, Data security, Archiving techniques, Information systems knowledge",Not Found,"Certified Records Manager (CRM), Certified Records Analyst (CRA), Information Governance Professional (IGP), Certified Information Professional (CIP), Certified Document Imaging Archiving Technician (CDIAT), Certified Information Systems Auditor (CISA), Certified Information Security Manager (CISM)","Electronic document management systems, Enterprise content management, Cloud storage solutions, Digital preservation tools, Information governance software, Database management systems","Organizational Skills, Attention to Detail, Problem-Solving, Compliance Focus, Communication",JSA,Not Found,3252.2,29-2072.00
